City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,tullahoma,35.362,-86.2094,57.99,50,0,17.27,US,1682951586
53,port alfred,-33.5906,26.891,71.19,76,16,5.01,ZA,1682951587
54,nurota,40.5614,65.6886,74.64,17,6,7.09,UZ,1682951587
55,salinopolis,-0.6136,-47.3561,83.86,75,93,7.78,BR,1682951587
56,hermanus,-34.4187,19.2345,62.8,71,100,4.74,ZA,1682951588
57,port moresby,-9.4431,147.1797,76.42,100,75,3.44,PG,1682951309
58,paamiut,61.994,-49.6678,33.13,41,9,2.57,GL,1682951590
59,kembe,4.6228,21.8865,80.69,56,81,3.31,CF,1682951591
60,nerchinskiy zavod,51.3088,119.61,52.7,40,100,3.83,RU,1682951593
61,chuy,-33.6971,-53.4616,66.78,46,82,10.45,UY,1682951495
62,vestmannaeyjar,63.4427,-20.2734,41.99,65,20,11.5,IS,1682951597
63,bluff,-46.6,168.3333,46.8,87,100,3.02,NZ,1682951598
64,mizan teferi,6.9833,35.5833,63.86,98,99,1.16,ET,1682951599
65,padilla,3.2204,-76.3139,74.77,71,75,2.55,CO,1682951600
66,sinnamary,5.3833,-52.95,83.59,69,53,11.52,GF,1682951600
67,kalutara,6.5831,79.9593,80.02,85,99,5.23,LK,1682951600
68,cape town,-33.9258,18.4232,68.11,54,0,12.66,ZA,1682951403
69,mar del plata,-38.0023,-57.5575,65.82,53,0,10.36,AR,1682951603
70,saint-philippe,-21.3585,55.7679,78.39,81,44,2.35,RE,1682951516
71,bathsheba,13.2167,-59.5167,84.81,74,75,11.5,BB,1682951605
72,aasiaat,68.7098,-52.8699,26.38,79,25,7.7,GL,1682951606
73,barrow,71.2906,-156.7887,10.42,85,100,13.8,US,1682951606
74,lavrentiya,65.5833,-171.0,21.63,87,100,9.62,RU,1682951607
75,cabo san lucas,22.8909,-109.9124,73.06,62,32,1.99,MX,1682951513
76,te anau,-45.4167,167.7167,49.57,84,71,1.92,NZ,1682951608
77,puerto escondido,15.85,-97.0667,81.43,89,75,5.75,MX,1682951609
78,isangel,-19.55,169.2667,77.38,88,100,7.78,VU,1682951610
79,arraial do cabo,-22.9661,-42.0278,80.56,69,20,17.27,BR,1682951360
80,katsuura,35.1333,140.3,60.82,81,4,14.12,JP,1682951420
81,lagoa,39.05,-27.9833,60.01,76,82,19.15,PT,1682951515
82,albany,42.6001,-73.9662,50.27,79,97,1.99,US,1682951347
83,xai-xai,-25.0519,33.6442,75.76,75,83,7.56,MZ,1682951363
84,port blair,11.6667,92.75,84.76,71,39,6.76,IN,1682951615
85,paracatu,-17.2222,-46.8747,85.05,40,0,1.36,BR,1682951616
86,east london,-33.0153,27.9116,70.74,60,6,8.95,ZA,1682951497
87,butterworth,5.3991,100.3638,86.05,100,40,13.8,MY,1682951503
88,omboue,-1.5746,9.2618,84.45,66,43,9.71,GA,1682951618
89,belle glade,26.6845,-80.6676,78.03,57,0,9.64,US,1682951422
90,ahipara,-35.1667,173.1667,62.38,95,18,6.29,NZ,1682951620
91,puerto ayora,-0.7393,-90.3518,85.96,88,9,1.01,EC,1682951621
92,ishigaki,24.3448,124.1572,73.53,88,75,16.11,JP,1682951623
93,saskylakh,71.9167,114.0833,-5.53,100,63,5.12,RU,1682951623
94,gazanjyk,39.2446,55.5154,86.83,20,6,0.4,TM,1682951624
95,vaini,-21.2,-175.2,75.36,78,40,12.66,TO,1682951624
96,kodiak,57.79,-152.4072,36.91,75,100,3.44,US,1682951625
97,acarau,-2.8856,-40.12,84.42,70,100,9.48,BR,1682951625
98,seara,41.1818,-7.8003,79.16,30,100,1.48,PT,1682951369
99,riberalta,-10.9833,-66.1,82.6,78,40,6.91,BO,1682951626
100,ewa beach,21.3156,-158.0072,74.43,88,0,4.61,US,1682951626
101,young,-32.6833,-57.6333,62.91,38,100,9.93,UY,1682951628
102,gouyave,12.1646,-61.7296,80.37,72,3,16.51,GD,1682951628
103,cap malheureux,-19.9842,57.6142,77.47,81,6,3.42,MU,1682951629
104,new norfolk,-42.7826,147.0587,49.71,83,100,2.77,AU,1682951630
105,rivera,-30.9053,-55.5508,60.13,79,100,12.44,UY,1682951630
106,victoria,22.2855,114.1577,76.32,74,97,15.01,HK,1682951133
107,jacqueville,5.2052,-4.4146,81.79,80,94,8.88,CI,1682951632
108,kavaratti,10.5669,72.642,85.23,70,100,11.18,IN,1682951513
109,cartagena del chaira,1.3349,-74.8429,85.84,63,48,2.46,CO,1682951633
110,kilindoni,-7.9139,39.6668,80.96,74,32,15.01,TZ,1682951634
111,codrington,-38.2667,141.9667,51.89,91,91,9.13,AU,1682951536
112,puerto el triunfo,13.2833,-88.55,83.32,68,100,3.4,SV,1682951635
113,dingle,10.9995,122.6711,79.05,82,97,7.07,PH,1682951635
114,bowen,-20.0167,148.2333,75.0,78,93,10.8,AU,1682951602
115,namatanai,-3.6667,152.4333,80.89,79,100,8.28,PG,1682951636
116,atar,20.5169,-13.0499,107.31,6,2,10.83,MR,1682951637
117,lebu,-37.6167,-73.65,53.11,60,4,6.76,CL,1682951638
118,vestmanna,62.1564,-7.1664,40.12,70,20,19.57,FO,1682951639
119,hovd,48.0056,91.6419,35.55,29,100,12.41,MN,1682951640
120,san jose,37.3394,-121.895,53.82,75,100,28.01,US,1682951560
121,shenzhen,22.5455,114.0683,76.21,78,99,10.78,CN,1682951495
122,kulhudhuffushi,6.6221,73.07,84.34,77,100,23.35,MV,1682951349
123,hobart,-42.8794,147.3294,50.05,93,100,4.61,AU,1682951499
124,kamiiso,41.8167,140.65,43.59,90,83,6.55,JP,1682951646
125,norman wells,65.282,-126.8329,30.24,86,75,13.8,CA,1682951647
126,excelsior springs,39.3392,-94.2261,52.5,46,0,12.66,US,1682951647
127,bachaquero,9.9694,-71.1494,86.31,66,22,6.31,VE,1682951648
128,cherskiy,68.75,161.3,4.73,100,78,1.1,RU,1682951650
129,cidreira,-30.1811,-50.2056,76.46,63,43,9.35,BR,1682951650
130,cedar city,37.6775,-113.0619,63.39,39,0,1.01,US,1682951651
131,hobyo,5.3505,48.5268,85.33,74,77,15.68,SO,1682951537
132,meulaboh,4.1363,96.1285,80.44,87,100,3.04,ID,1682951652
133,upernavik,72.7868,-56.1549,29.07,63,34,3.24,GL,1682951652
134,provideniya,64.3833,-173.3,25.47,94,100,8.01,RU,1682951515
135,tiruchchendur,8.4833,78.1167,83.59,76,93,16.37,IN,1682951653
136,harlow,51.7766,0.1116,65.17,64,75,9.22,GB,1682951409
137,niceville,30.5169,-86.4822,71.1,62,0,9.22,US,1682951585
138,miri,4.4148,114.0089,80.74,94,40,0.0,MY,1682951656
139,qazax,41.0933,45.3661,59.77,65,73,13.31,AZ,1682951657
140,artyom,40.4723,50.333,60.94,85,39,26.6,AZ,1682951658
141,popondetta,-8.7537,148.2534,75.0,92,46,3.18,PG,1682951658
142,maceio,-9.6658,-35.7353,85.44,70,75,8.05,BR,1682951501
143,san andres,12.5847,-81.7006,86.02,74,20,11.5,CO,1682951662
144,srednekolymsk,67.45,153.6833,24.64,94,100,7.58,RU,1682951664
145,ixtapa,20.7,-105.2,76.23,64,75,1.01,MX,1682951665
146,puerto leguizamo,-0.1934,-74.7819,86.27,63,60,2.77,CO,1682951666
147,khatanga,71.9667,102.5,0.46,94,48,6.53,RU,1682951668
148,mount pleasant,32.7941,-79.8626,68.05,35,0,13.8,US,1682951668
149,los llanos de aridane,28.6585,-17.9182,76.75,48,0,7.0,ES,1682951670
150,chokurdakh,70.6333,147.9167,4.17,97,92,5.44,RU,1682951673
151,pryluky,50.5932,32.3876,53.87,49,23,14.41,UA,1682951674
152,smithers,54.7804,-127.1743,41.32,93,20,5.75,CA,1682951674
153,pacific grove,36.6177,-121.9166,53.28,90,100,11.5,US,1682951675
154,ribeira grande,38.5167,-28.7,64.8,68,20,18.99,PT,1682951501
155,shigony,53.3875,48.6777,74.25,50,99,12.48,RU,1682951676
156,georgetown,5.4112,100.3354,85.95,100,40,13.8,MY,1682951419
157,guerrero negro,27.9769,-114.0611,59.65,72,100,9.51,MX,1682951676
158,leningradskiy,69.3833,178.4167,-5.53,99,93,5.3,RU,1682951677
159,thinadhoo,0.5333,72.9333,80.65,84,100,16.11,MV,1682951678
160,souillac,-20.5167,57.5167,79.18,89,75,0.0,MU,1682951504
161,tura,25.5198,90.2201,71.96,80,100,2.71,IN,1682951678
162,santa marta,11.2408,-74.199,84.25,74,75,8.05,CO,1682951470
163,qaanaaq,77.484,-69.3632,31.6,72,100,5.46,GL,1682951679
164,lasa,46.6166,10.7002,56.7,96,100,3.44,IT,1682951679
165,pevek,69.7008,170.3133,-10.16,98,29,3.62,RU,1682951680
166,simao,22.7886,100.9748,67.86,70,48,2.8,CN,1682951681
167,isla mujeres,21.2311,-86.731,78.85,52,13,5.3,MX,1682951681
168,bredasdorp,-34.5322,20.0403,63.46,60,100,6.33,ZA,1682951681
169,bengkulu,-3.8004,102.2655,77.88,85,80,3.42,ID,1682951682
170,rabaul,-4.1967,152.1721,80.53,80,100,5.68,PG,1682951683
